Year,Country,Item,Rainfall (mm),Temperature (Celsius),Pesticides (tonnes),Yield (hg/ha)
1990,Albania,Barley,812.2345,12.051220833333334,121,10000
1990,Albania,Carrots and turnips,812.2345,12.051220833333334,121,150000
1990,Albania,Cauliflowers and broccoli,812.2345,12.051220833333334,121,171429
1990,Albania,Garlic,812.2345,12.051220833333334,121,65000
1990,Albania,Maize,812.2345,12.051220833333334,121,36613
1990,Albania,Oats,812.2345,12.051220833333334,121,7500
1990,Albania,"Onions, shallots, green",812.2345,12.051220833333334,121,111429
1990,Albania,Potatoes,812.2345,12.051220833333334,121,66667
1990,Albania,Rye,812.2345,12.051220833333334,121,6667
1990,Albania,Wheat,812.2345,12.051220833333334,121,30197
1990,Algeria,Barley,89.74373,23.426191666666668,5743,7610
1990,Algeria,Carrots and turnips,89.74373,23.426191666666668,5743,72302
1990,Algeria,Cauliflowers and broccoli,89.74373,23.426191666666668,5743,79898
1990,Algeria,Garlic,89.74373,23.426191666666668,5743,28107
1990,Algeria,Maize,89.74373,23.426191666666668,5743,16500
1990,Algeria,Oats,89.74373,23.426191666666668,5743,5032
1990,Algeria,"Onions, shallots, green",89.74373,23.426191666666668,5743,85714
1990,Algeria,Potatoes,89.74373,23.426191666666668,5743,78936
1990,Algeria,Wheat,89.74373,23.426191666666668,5743,6315
1990,Angola,Maize,966.55189,21.970358333333333,64,2736
1990,Angola,"Onions, shallots, green",966.55189,21.970358333333333,64,11000
1990,Angola,Potatoes,966.55189,21.970358333333333,64,40000
1990,Angola,Sweet potatoes,966.55189,21.970358333333333,64,89342
1990,Angola,Wheat,966.55189,21.970358333333333,64,7995
1990,Antigua and Barbuda,Carrots and turnips,2552.72,26.03765,8,40816
1990,Antigua and Barbuda,Maize,2552.72,26.03765,8,23810
1990,Antigua and Barbuda,Sweet potatoes,2552.72,26.03765,8,61538
1990,Argentina,Barley,629.5726999999999,14.495000833333334,26156,21934
1990,Argentina,Carrots and turnips,629.5726999999999,14.495000833333334,26156,182609
1990,Argentina,Garlic,629.5726999999999,14.495000833333334,26156,62899
1990,Argentina,Hops,629.5726999999999,14.495000833333334,26156,12000
1990,Argentina,Maize,629.5726999999999,14.495000833333334,26156,34608
1990,Argentina,Oats,629.5726999999999,14.495000833333334,26156,15403
1990,Argentina,Potatoes,629.5726999999999,14.495000833333334,26156,202747
1990,Argentina,Rye,629.5726999999999,14.495000833333334,26156,8103
1990,Argentina,Sweet potatoes,629.5726999999999,14.495000833333334,26156,131864
